25
scd001, f0001, cnmr01, 1, 45000, 3/3/2021, 
scd002, f0002, cnmr03, 2, 50000, 12/3/2021, 
scd003, f0001, cnmr04, 3, 45000, 8/4/2021, 
scd004, f0001, cnmr01, 5, 45000, 3/4/2021, 
scd005, f0001, cnmr04, 2, 45000, 17/5/2021, 
scd006, f0001, cnmr06, 5, 45000, 8/5/2021, 
scd007, f0002, cnmr01, 4, 50000, 24/6/2021, 
scd008, f0002, cnmr03, 1, 45000, 12/7/2021, 
scd009, f0002, cnmr06, 5, 45000, 8/7/2021, 
scd010, f0002, cnmr04, 3, 45000, 15/8/2021, 
scd011, f0002, cnmr06, 2, 45000, 8/8/2021, 
scd012, f0003, cnmr05, 4, 50000, 21/9/2021, 
scd013, f0003, cnmr01, 1, 60000, 3/9/2021, 
scd014, f0003, cnmr01, 5, 45000, 12/9/2021, 
scd015, f0003, cnmr04, 3, 45000, 8/10/2021, 
scd016, f0003, cnmr01, 3, 45000, 3/10/2021, 
scd017, f0003, cnmr03, 2, 50000, 17/11/2021, 
scd018, f0003, cnmr06, 4, 45000, 8/11/2021, 
scd019, f0004, cnmr01, 4, 60000, 24/12/2021, 
scd020, f0004, cnmr03, 1, 45000, 12/12/2021, 
scd021, f0004, cnmr06, 5, 50000, 8/1/2022, 
scd022, f0004, cnmr05, 3, 45000, 15/1/2022, 
scd023, f0004, cnmr03, 2, 50000, 8/2/2022, 
scd024, f0004, cnmr05, 4, 45000, 21/2/2022, 
scd025, f0004, cnmr01, 5, 60000, 1/3/2022, 
